requirement_id,feature,primary_doc,phase,acceptance_test
FR-ONB-001,First-run introduction,02_FUNCTIONAL_REQUIREMENTS,03,E2E-001
FR-ONB-003,Daily study time,02_FUNCTIONAL_REQUIREMENTS,03,E2E-001
FR-DIA-001,Diagnostic,02_FUNCTIONAL_REQUIREMENTS,03,E2E-001
FR-CUR-001,Stage map,03_CURRICULUM_MAP,03,AC-REL-003
FR-LES-001,Lesson structure,11_LESSON_AND_EXERCISE_ENGINE,03/05,AC-REL-003
FR-DLY-001,Daily plan,02_FUNCTIONAL_REQUIREMENTS,05,E2E-004
FR-VOC-001,Vocabulary modes,10_VOCABULARY_MODE,04,E2E-002
FR-REV-003,Adaptive scheduling,09_REVIEW_ALGORITHM,04,AC-REL-005
FR-REV-005,Backlog rescue,09_REVIEW_ALGORITHM,05,E2E-004
FR-REA-001,Reading,05_SCREEN_SPECIFICATIONS,06,Skill E2E
FR-LIS-001,Listening,05_SCREEN_SPECIFICATIONS,06,Skill E2E
FR-WRI-001,Summary writing,05_SCREEN_SPECIFICATIONS,06,E2E-007
FR-SPK-001,Speaking flow,05_SCREEN_SPECIFICATIONS,06,E2E-008
FR-PRO-001,Progress,02_FUNCTIONAL_REQUIREMENTS,08,Progress tests
FR-DAT-002,Backup,08_DATA_MODEL_AND_INDEXEDDB,07,E2E-005
FR-PWA-002,Offline,13_PWA_OFFLINE_INSTALL_UPDATE,07/09,E2E-006
NFR-A11Y-001,Accessibility,14_ACCESSIBILITY_PRIVACY_SECURITY,08/09,Axe and manual
NFR-PRIV-001,Local privacy,14_ACCESSIBILITY_PRIVACY_SECURITY,All,Security checklist
